id;stock;nom;consommation_interne;alimentation_id;consommation_id
1;37454;Directives application Home Loan Account;false;1;1
2;44583;Small;false;2;2
3;86617;Savings Account alarm;false;3;3
4;5641;transmitter Implementation Electronics;true;4;4
5;18340;methodology Albania;false;5;5
6;2306;Namibia;false;6;6
7;13949;zero administration;false;7;7
8;23277;Licensed Savings Account;false;8;8
9;51423;Mississippi Refined Rubber Chicken Table;false;9;9
10;1326;Usability South Dakota envisioneer;false;10;10
