id;societe;numero_bon_gasoil;quantite_en_litre;prix_du_litre;prix_total_gasoil;kilometrage_initial;kilometrage_final;kilometrage_parcouru
1;mobile Fish;77969;59865;59685;15601;44583;15599;9997
2;Trace;33370;60111;14286;70807;65088;2058;5641
3;transmitter Implementation Electronics;99221;18340;61748;30424;61165;52475;706
4;Home Namibia;39986;13949;4666;29214;97375;36636;23277
5;Licensed Savings Account;38246;51423;98323;59241;46676;4645;85994
6;Yuan Renminbi Centers;1326;94888;94220;96563;56328;80839;38541
7;Music;23089;68423;24102;44015;68326;12203;60999
8;backing up Salad;39106;25877;18223;66252;75536;31171;42515
9;sky blue Georgia;3131;96958;84228;77513;44975;93949;39515
10;Communications capacitor archive;57044;19598;52083;4522;96117;32533;84453
