id;date_reception;numero_bon_reception;description;quantity;prix_unitaire;unite_gasoil_gros;fournisseur_id;transporteur_id;produit_id
1;2021-08-06;Directives application Home Loan Account;Dam;9997;5808;TONNE;1;1;1
2;2021-08-06;Tasty Metal Bacon;red Chips Soap;30424;61165;TONNE;2;2;2
3;2021-08-06;Steel zero administration;Multi-channelled Licensed;61838;19967;TONNE;3;3;3
4;2021-08-06;Yuan Renminbi Centers;Factors;96563;56328;TONNE;4;4;4
5;2021-08-06;Rubber Buckinghamshire Games;incentivize Tuna copy;42515;52006;TONNE;5;5;5
6;2021-08-07;synthesizing Views e-enable;Credit Card Account National Awesome;19598;52083;TONNE;6;6;6
7;2021-08-06;interactive generating compelling;Home Loan Account;27599;14092;TONNE;7;7;7
8;2021-08-07;deliverables reinvent 24 hour;overriding;70685;71134;TONNE;8;8;8
9;2021-08-07;IB Investment Account archive;envisioneer;66884;32518;TONNE;9;9;9
10;2021-08-06;embrace Developer;synthesize Idaho compress;49379;4043;TONNE;10;10;10
