id;prix_vente_unitaire;quantite;prix_vente_total;marge_globale;taux_marge;unite_gasoil_gros;societe_facturation_id;client_id;achat_gasoil_id
1;37454;79654;95071;18343;73199;TONNE;1;1;1
2;45924;86617;33370;60111;14286;TONNE;2;2;2
3;18182;99221;18340;61748;30424;TONNE;3;3;3
4;52477;61185;39986;13949;4666;TONNE;4;4;4
5;45606;9060;78517;61838;19967;TONNE;5;5;5
6;85994;60754;68030;17052;45049;TONNE;6;6;6
7;96563;56328;80839;38541;30461;TONNE;7;7;7
8;24102;44015;68326;12203;60999;TONNE;8;8;8
9;25877;18223;66252;75536;31171;TONNE;9;9;9
10;3131;96958;84228;77513;44975;TONNE;10;10;10
