id;date_bon_commande;numero_bon_commande;numero_bon_livraison;date_bon_livraison;numero_bon_fournisseur;quantite_vendue;unite_vente;prix_total_vente;quantite_achetee;unite_achat;prix_total_achat;quantite_convertie;type;facture;date_bon_caisse;reparation_divers;trax;balance;avance;autoroute;dernier_etat;penalite_ese;penalite_chfrs;frais_espece;retenu;total_comission
1;2019-12-31;34292;59359;2019-12-31;67910;35510;Voyage;58684;55774;M3;36308;89964;Transport;true;2020-01-01;60577;93369;23722;753;10178;22533;15285;36535;24595;48780;16068
2;2019-12-31;18656;8788;2020-01-01;80586;17337;Tonne;5163;52451;Voyage;99725;11203;Marchandise;true;2020-01-01;49074;17088;72289;66864;82086;92937;71845;55676;53503;57161;47661
3;2020-01-01;83858;76949;2020-01-01;18704;96799;Tonne;50761;73624;Voyage;61062;76777;Marchandise;false;2019-12-31;48114;32064;53258;59388;5182;36923;33660;45426;13441;54860;6337
4;2019-12-31;98996;20173;2020-01-01;68457;80987;Voyage;271;76022;M3;60610;41184;Marchandise;false;2020-01-01;93293;73086;99092;93834;20500;18123;37922;6649;92644;74112;72159
5;2019-12-31;4809;84182;2019-12-31;13977;82794;Tonne;81457;23569;Tonne;87720;58830;Marchandise;false;2019-12-31;46267;62410;30137;53978;74760;43874;50272;57748;23221;35536;89957
6;2020-01-01;38389;53185;2019-12-31;6661;90647;Tonne;43152;93983;M3;69371;13927;Marchandise;false;2019-12-31;74146;89389;57315;78859;99769;15167;75240;31172;70698;24848;77857
7;2019-12-31;14312;3353;2020-01-01;56988;71406;M3;11063;37882;M3;14991;48635;Marchandise;true;2020-01-01;64114;59844;69394;56550;54272;71617;25179;59902;34569;82679;18159
8;2019-12-31;90845;34252;2019-12-31;22735;40085;Tonne;91185;58622;M3;25601;1811;Marchandise;true;2019-12-31;2302;70723;65136;15253;77124;57628;37443;60671;6892;42413;7732
9;2019-12-31;10424;93436;2019-12-31;92556;91068;Tonne;83889;18632;Tonne;86989;31144;Transport;false;2019-12-31;33519;20557;80285;78778;463;60372;33349;11426;39816;41450;53739
10;2019-12-31;91985;92296;2020-01-01;46570;34695;Tonne;3284;45243;M3;3387;91484;Marchandise;false;2019-12-31;22009;1309;21268;66353;51517;17803;97554;96107;45898;14866;55730
