id;code;categorie
1;Plastic South Georgia and the South Sandwich Islands;composite Orchestrator Club
2;Intelligent Granite Shirt Peru deposit;Frozen Analyst card
3;redundant;content
4;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard
5;Enterprise-wide Benin;Tuna Response invoice
6;alarm Jamaica;system Gorgeous Rubber Pants
7;hack;leading-edge
8;Ergonomic Steel Gloves;Developer Shoes Music
9;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna
10;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account
